ship;flag;lenght;draft;navigation;arrival;notice;office;first_operation;second_operation;first_goods;second_goods;first_weight;second_weight;voyage;duv;priority;terminal;ship_type
MAERSK BERMUDA;SINGAPURENSE;195;9;Long;26/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5687-32023;550072023;B;TECON;CONTEINERES
BREMEN BELLE;SINGAPURENSE;281;9;Long;26/01/2024 16:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5808-52023;550232023;B;B.T.P. 1;CONTEINERES
CAP SAN SOUNIO;PANAMENHA;333;9;Long;27/01/2024 03:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5686-72023;550262023;B;TECON;CONTEINERES
XIN FU ZHOU;CHINESA;280;10;Long;27/01/2024 07:00:00;;COSCO BRASIL S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;14400;5238-42023;519442023;B;TECON;CONTEINERES
MAERSK MONTE AZUL;SINGAPURENSE;272;9;Long;27/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5685--2023;553862023;B;TECON;CONTEINERES
SAN LORENZO MAERSK;DINAMARQUESA;333;9;Long;28/01/2024 02:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5814-52023;551212023;B;TECON;CONTEINERES
ONE PARANA;HONG KONG;330;12.2;Long;29/01/2024 17:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1530;15300;5738-72023;573162023;B;B.T.P. 1;CONTEINERES
MAERSK LAVRAS;DINAMARQUESA;300;9;Long;30/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5736-42023;550612023;B;B.T.P. 1;CONTEINERES
ONE PARANA;HONG KONG;330;14.5;Long;15/02/2024 23:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;15300;1530;5737--2023;573242023;B;B.T.P. 1;CONTEINERES
TATE J;ILHAS MARSHALL;180;9.8;Long;20/12/2023 04:42:00;5352-0;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB ;0;ACUCAR;0;32220;0;5609-22023;560152023;C3;16/17-19;PRIORIDADE C3
BOW TRIDENT;NORUEGUESA;183;8;Long;25/12/2023 13:50:00;5443-7;AGENCIA MARITIMA GRANEL LTDA.;EMB ;0;OUTROS;0;10;0;5717-02023;568102023;C5;ALAMOA;PRIORIDADE C5
ARACARI ARROW;BAHAMENSE;199;11;Long;28/12/2023;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;PAPEL E CELULOSE;0;23500;0;4915-22023;487162023;C5;EPORT 1/TECON 1;PRIORIDADE C5
BIRCH ARROW (EX-GREAT CRY;BAHAMENSE;196;11;Long;28/12/2023;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;PAPEL E CELULOSE;0;36000;0;5277-02023;522212023;C5;35/37;PRIORIDADE C5
CONDOR PATAGONIA;ANTIGUANA;140;9;Long;28/12/2023;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;OUTROS;0;1000;0;5749-92023;573632023;C5;TECONDI;PRIORIDADE C5
ENDLESS SUMMER;ILHAS MARSHALL;183;10.6;Cabo;28/12/2023;;INACIO FRANCISCO DA SILVA LOG EPP;EMB ;0;OUTROS;0;1;0;5742-42023;573142023;C5;CODESP-RUA;PRIORIDADE C5
PINGUIM;BRASILEIRA;85;5;Long;28/12/2023;;ROCHAMAR AGENCIA MARITIMA S/A;EMB ;0;OUTROS;0;1;0;4289-42023;430642023;C5;W e S;PRIORIDADE C5
SAVEIROS GAIVOTA;BRASILEIRA;62;4;Long;28/12/2023;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;OUTROS;0;1;0;4815-82023;477722023;C5;SAIPEN;PRIORIDADE C5
ELLINA;MALTESA;229;13.1;Long;28/12/2023 11:00:00;5489-5;AGÊNCIA MARÍTIMA ORION;EMB ;0;OUTROS;0;1;0;5794-42023;578932023;C5;CODESP-RUA;PRIORIDADE C5
SEAWAYS GALLE;LIBERIANA;184;5;Long;27/07/2023 12:30:00;3132-1;ROCHAMAR AGENCIA MARITIMA S/A;EMB ;0;BANKER;0;1;0;3281-02023;330192023;SP;CODESP-RUA;SEM PRIORIDADE
GOLDEN CITRUS;PORTUGUESA;180;10.5;Long;17/11/2023 08:00:00;4854-2;RELIANCE AGENCIAMENTO E SERVICOS PORTUARIOS LTDA.;EMB ;0;SUCOS CITRICOS A GRANEL;0;19616;0;5072-92023;500182023;B;29;SEM PRIORIDADE
SPARROWHAWK;ILHAS MARSHALL;147;7;Long;20/12/2023 06:12:00;5355-4;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;GRAN.SOLIDO NAO ESPECIF;OLEO LUBRIFICANTE;1006;2000;5591-62023;555602023;B;ALAMOA;SEM PRIORIDADE
BOCHEM ROTTERDAM;PORTUGUESA;159;8;Long;25/12/2023 04:25:00;5432-1;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB ;0;GRAN.LIQUIDO NAO ESPECIF;0;15300;0;5587-92023;558842023;B;ALA.-I.B.;SEM PRIORIDADE
CHEMROAD WING;PANAMENHA;170;11;Long;25/12/2023 05:50:00;5434-8;WORLD SHIPPING AGENCIAMENTOS LTDA;EMB ;0;ETHANOL;0;28404;0;5706-82023;566672023;B;AGEO(ILHA);SEM PRIORIDADE
